OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude
725,Twin Cities AAP,mn,semi,usa,no,45.095,-93.172
726,OLF Coupeville,wa,act,usn,no,48.19807142857144,-122.6342142857143
727,Ozol Defense Fuel Support Point,ca,act,usaf,no,38.025125,-122.166125
728,Rocky Mountain Arsenal,co,clsd,usa,no,39.862704545454555,-104.84634090909086
730,Atlantic City IAP,nj,act,airNationalGuard,no,39.70771428571429,-74.43999999999998
731,Dania Beach (Lauderdale),fl,act,usn,no,26.09225,-80.11
732,England Authority,la,act,usa,no,31.33725,-92.541875
733,Francis S Gabreski Airport,ny,act,airNationalGuard,no,40.835125,-72.640125
734,Sioux Gateway Airport (ANG),ia,act,airNationalGuard,no,42.39333333333334,-96.37391666666667
735,Balboa Hospital,ca,act,usn,no,32.727,-117.145
736,Brooklyn NY,ny,act,usmcr,no,40.582,-73.87925
738,Cannon Air Force Base,nm,act,usaf,no,34.388000000000005,-103.3222
739,Chocolate Mountain Aerial Gunnery Range,ca,act,usmc,no,33.346928571428556,-115.3491
740,Cusick Survival Training Site,wa,act,usaf,no,48.487624999999994,-117.387
741,Def Gen Supply Center,va,act,usa,no,37.421,-77.44675
743,Francis E. Warren Air Force Base,wy,act,usaf,no,41.17333333333333,-104.86449999999998
744,Fairchild Air Force Base,wa,act,usaf,no,47.61125,-117.652625
745,Former NTC,ca,act,usmc,no,32.729749999999996,-117.22
746,Fort Greely,ak,act,usa,no,63.9752,-145.72511999999998
747,Fort Leavenworth,ks,act,usa,no,39.361,-94.91836363636365
748,Fort Wingate Depot Activity,nm,act,usa,no,35.466130434782606,-108.59630434782609
753,Harbor Drive,ca,act,usmc,no,32.7295,-117.208
754,Hunter Army Airfield,ga,act,usa,no,32.01416666666666,-81.149
766,Joint Base Charleston,sc,act,usaf,yes,32.96458260869565,-80.01650434782609
767,Joint Base Langley-Eustis,va,act,usaf,yes,37.120374999999996,-76.46346875
771,Kirtland Air Force Base,nm,act,usaf,no,35.036904761904765,-106.53128571428572
772,MC Trng Area Bellows,hi,act,usmc,no,21.3675,-157.72050000000002
773,Marine Corps Air Station Miramar,ca,act,usmc,no,32.86743333333333,-117.09806666666665
774,Marine Corps Base Camp Pendleton,ca,act,usmc,no,33.39272,-117.37711999999999
775,"Marine Corps Base Hawaii, Camp H.M. Smith",hi,act,usmc,no,21.387999999999998,-157.90425
776,Marine Corps Base Hawaii,hi,act,usmc,no,21.445333333333334,-157.75066666666666
777,Marine Corps Base Quantico,va,act,usmc,no,38.55658823529411,-77.41711764705882
778,Marine Corps Logistics Base Barstow,ca,act,usmc,no,34.863,-116.94171428571427
779,MCRD San Diego,ca,act,usmc,no,32.74075,-117.19625
780,MCRD San Diego,ca,act,usmc,no,32.74075,-117.19625
781,Marine Corps Support Facility Blount Island,fl,act,usmc,no,30.400799999999997,-81.5236
782,Naval Support Activity Wash,dc,act,usn,no,38.8735,-76.9945
783,NG Atlanta United Ave,ga,act,armyNationalGuard,no,33.722,-84.359
784,NG Ayer,ma,act,armyNationalGuard,no,42.54875,-71.58449999999999
785,NG Baton Rouge AFRC,la,act,armyNationalGuard,no,30.358000000000004,-91.13975
786,NG Beauregard Training Range,la,act,armyNationalGuard,no,31.435538461538457,-92.2823076923077
787,NG Bend Cotef,or,act,armyNationalGuard,no,44.02575,-121.128
788,NG Bergstrom - (Abia),tx,act,armyNationalGuard,no,30.176,-97.6725
789,NG Bethany Beach Training Site,de,act,armyNationalGuard,no,38.54675,-75.0635
