OBJECTID,Site_Name,State,latitude,longitude,elevation,Is_Joint_Base,Operational_Status,Reporting_Component,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,current_time,timezone,Cluster
213,Red River Army Depot,tx,33.46679,-94.31686,109.0,no,act,usa,68.9,75,66.2,1,0.0,0.0,0.0,0.0,3,80,1016.2,1003.5,14.9,208,27.3,2026-02-10T10:45,America/Chicago,0
214,Redstone Arsenal,al,34.68387,-86.64764,313.0,no,act,usa,61.0,83,58.5,1,0.0,0.0,0.0,0.0,3,89,1018.8,979.1,10.5,200,22.1,2026-02-10T10:45,America/Chicago,0
217,NG Rickenbacker,oh,39.8172,-82.93616,225.0,no,act,armyNationalGuard,36.6,67,28.1,1,0.0,0.0,0.0,0.0,0,1,1011.3,983.7,9.9,186,19.5,2026-02-10T11:45,America/New_York,5
232,NG Shelbyville,in,39.52144,-85.77692,233.0,no,act,armyNationalGuard,51.3,82,45.3,1,0.0,0.0,0.0,0.0,0,4,1011.1,983.2,12.0,223,17.4,2026-02-10T11:45,America/Indiana/Indianapolis,5
272,NG West Camp,sd,42.12315,-73.93486,56.0,no,act,armyNationalGuard,26.2,57,17.7,1,0.0,0.0,0.0,0.0,3,87,1016.9,1009.7,6.4,162,11.9,2026-02-10T11:45,America/New_York,2
291,NG Knightstown,in,39.7956,-85.52636,284.0,no,act,armyNationalGuard,45.1,81,38.0,1,0.0,0.0,0.0,0.0,0,2,1010.7,976.2,11.6,220,19.2,2026-02-10T11:45,America/Indiana/Indianapolis,5
292,Fort Bragg,nc,35.139,-79.00603,104.0,no,act,usa,55.4,52,51.6,1,0.0,0.0,0.0,0.0,0,5,1018.9,1005.9,5.1,241,11.2,2026-02-10T11:45,America/New_York,9
293,March ARB,ca,33.89267,-117.26081,464.0,no,act,afr,56.4,57,53.6,1,0.0,0.0,0.0,0.0,3,100,1013.4,959.2,1.7,140,3.6,2026-02-10T08:45,America/Los_Angeles,10
294,Tinker Air Force Base,ok,35.42555,-97.39682,376.0,no,act,usaf,56.6,51,47.3,1,0.0,0.0,0.0,0.0,3,98,1013.7,968.8,15.9,320,23.0,2026-02-10T10:45,America/Chicago,8
295,Dover Air Force Base,de,39.12749,-75.47136,7.0,no,act,usaf,39.7,57,34.0,1,0.0,0.0,0.0,0.0,3,81,1019.3,1018.5,4.0,128,9.2,2026-02-10T11:45,America/New_York,2
299,Dobbins ARB,ga,33.91538,-84.51632,325.0,no,act,afr,62.4,70,60.8,1,0.0,0.0,0.0,0.0,2,52,1020.7,984.1,7.6,242,15.9,2026-02-10T11:45,America/New_York,3
300,McGhee Tyson Airport,tn,35.80673,-83.99115,290.0,no,act,airNationalGuard,61.0,75,56.3,1,0.0,0.0,0.0,0.0,3,100,1018.5,984.2,13.5,228,25.5,2026-02-10T11:45,America/New_York,0
301,Keesler AFB,ms,30.41078,-88.92188,224.0,no,act,usaf,63.4,93,65.5,1,0.0,0.0,0.0,0.0,1,37,1022.4,1021.9,6.5,196,12.1,2026-02-10T10:45,America/Chicago,3
302,Dyess Air Force Base,tx,32.42013,-99.85731,543.0,no,act,usaf,72.4,45,67.5,1,0.0,0.0,0.0,0.0,3,100,1015.1,953.6,11.5,262,22.6,2026-02-10T10:45,America/Chicago,0
303,Westover ARB,ma,42.19317,-72.53603,73.0,no,act,afr,25.9,58,19.0,1,0.0,0.0,0.0,0.0,2,67,1018.4,1009.2,3.3,196,6.3,2026-02-10T11:45,America/New_York,2
307,Maxwell-Gunter Air Force Base,al,32.70069,-85.76023,208.0,no,act,usaf,61.5,86,60.7,1,0.0,0.0,0.0,0.0,3,100,1021.6,996.5,7.5,231,17.0,2026-02-10T10:45,America/Chicago,3
308,Moody Air Force Base,ga,30.96862,-83.19306,71.0,no,act,usaf,63.8,76,63.2,1,0.0,0.0,0.0,0.0,2,53,1023.4,1015.3,6.6,235,13.2,2026-02-10T11:45,America/New_York,3
309,Whiteman Air Force Base,mo,38.73018,-93.55895,254.0,no,act,usaf,48.4,51,37.3,1,0.0,0.0,0.0,0.0,0,3,1014.6,984.0,17.1,5,24.8,2026-02-10T10:45,America/Chicago,6
311,Wright-Patterson Air Force Base,oh,39.82201,-84.0368,248.0,no,act,usaf,43.2,75,37.2,1,0.0,0.0,0.0,0.0,0,0,1010.7,980.7,7.4,200,16.1,2026-02-10T11:45,America/New_York,5
312,McConnell AFB,ks,37.63007,-97.25869,416.0,no,act,usaf,47.5,52,35.5,1,0.0,0.0,0.0,0.0,3,82,1015.8,966.8,18.9,14,34.7,2026-02-10T10:45,America/Chicago,6
313,Barksdale Air Force Base,la,32.49696,-93.66762,50.0,no,act,usaf,71.1,68,68.8,1,0.0,0.0,0.0,0.0,3,97,1017.7,1011.9,13.5,219,21.3,2026-02-10T10:45,America/Chicago,0
314,Little Rock Air Force Base,ar,34.89149,-92.15955,264.0,no,act,usaf,64.1,88,63.8,1,0.0,0.0,0.0,0.0,3,100,1014.9,1001.2,9.3,233,27.1,2026-02-10T10:45,America/Chicago,0
319,Hill Air Force Base,ut,41.11118,-111.97712,1461.0,no,act,usaf,37.0,56,31.1,1,0.0,0.0,0.0,0.0,3,100,1020.9,854.0,2.0,186,3.6,2026-02-10T09:45,America/Denver,4
324,Eglin Air Force Base,fl,30.45907,-86.55026,13.0,no,act,usaf,64.8,91,68.2,1,0.0,0.0,0.0,0.0,2,63,1022.8,1020.8,3.9,167,9.8,2026-02-10T10:45,America/Chicago,3
326,Tyndall Air Force Base,fl,30.08535,-85.60731,8.0,no,act,usaf,67.5,81,68.7,1,0.0,0.0,0.0,0.0,0,4,1023.1,1021.5,10.1,179,12.8,2026-02-10T10:45,America/Chicago,3
327,Cheyenne Mountain Space Force Station,co,38.73721,-104.88081,2915.0,no,act,usaf,29.1,59,18.8,1,0.0,0.0,0.0,0.0,0,6,1022.7,719.3,11.1,214,20.4,2026-02-10T09:45,America/Denver,4
335,W K Kellogg,mi,42.30726,-85.25083,283.0,no,act,airNationalGuard,37.9,81,30.5,1,0.0,0.0,0.0,0.0,1,43,1007.8,973.4,8.5,273,24.4,2026-02-10T11:45,America/Detroit,5
340,Hurlburt Field,fl,30.42388,-86.69741,15.0,no,act,usaf,67.0,80,69.4,1,0.0,0.0,0.0,0.0,2,51,1022.8,1021.5,4.7,188,9.6,2026-02-10T10:45,America/Chicago,3
341,Robins AFB,ga,32.64014,-83.59185,89.0,no,act,usaf,57.8,93,57.4,1,0.0,0.0,0.0,0.0,3,100,1022.5,1012.5,5.2,250,10.5,2026-02-10T11:45,America/New_York,3
342,Joint Base Andrews,md,38.80366,-76.87215,85.0,yes,act,usaf,39.4,63,34.5,1,0.0,0.0,0.0,0.0,3,91,1018.4,1008.7,2.6,195,6.5,2026-02-10T11:45,America/New_York,2
343,Vance Air Force Base,ok,36.33976,-97.91645,391.0,no,act,usaf,48.3,51,35.4,1,0.0,0.0,0.0,0.0,3,100,1015.8,969.2,21.3,360,32.2,2026-02-10T10:45,America/Chicago,8
345,Mountain Home Air Force Base,id,43.04963,-115.86561,912.0,no,act,usaf,35.9,60,24.5,1,0.0,0.0,0.0,0.0,3,100,1022.2,914.0,15.1,130,30.4,2026-02-10T09:45,America/Boise,6
353,Arnold Air Force Base,tn,35.39871,-86.0785,325.0,no,act,usaf,63.8,76,61.5,1,0.0,0.0,0.0,0.0,0,13,1017.8,980.2,10.9,206,24.8,2026-02-10T10:45,America/Chicago,5
354,Scott Air Force Base,il,38.5427,-89.85035,134.0,no,act,usaf,65.1,66,61.3,1,0.0,0.0,0.0,0.0,0,10,1011.6,996.0,11.7,282,22.4,2026-02-10T10:45,America/Chicago,5
359,Holloman Air Force Base,nm,32.84827,-106.09977,1240.0,no,act,usaf,61.6,51,57.9,1,0.0,0.0,0.0,0.0,3,100,1015.0,878.6,4.7,175,6.0,2026-02-10T09:45,America/Denver,10
363,Niagara Falls,ny,43.0945,-79.05671,187.0,no,act,afr,36.0,59,28.4,1,0.0,0.0,0.0,0.0,3,100,1008.9,985.3,6.0,182,19.5,2026-02-10T11:45,America/New_York,2
364,MacDill Air Force Base,fl,27.84934,-82.52121,4.0,no,act,usaf,71.6,37,69.8,1,0.0,0.0,0.0,0.0,0,2,1024.8,1024.4,5.7,201,8.7,2026-02-10T11:45,America/New_York,9
366,Vandenberg Space Force Base,ca,34.7483,-120.51817,156.0,no,act,usaf,56.3,90,55.1,1,0.0,0.0,0.0,0.0,3,100,1012.1,993.1,5.4,185,14.1,2026-02-10T08:45,America/Los_Angeles,1
367,Columbus Air Force Base,ms,33.63239,-88.45153,56.0,no,act,usaf,66.1,76,64.6,1,0.0,0.0,0.0,0.0,3,97,1019.3,1011.7,10.0,209,18.1,2026-02-10T10:45,America/Chicago,0
370,Bellows,hi,44.65972,-86.23204,192.0,no,act,usaf,37.0,77,27.8,1,0.0,0.0,0.0,0.0,3,80,1009.2,984.9,12.2,288,20.6,2026-02-10T11:45,America/Detroit,8
374,Kegelman Air Force Auxiliary Field,ok,36.73816,-98.12624,367.0,no,act,usaf,49.0,46,35.6,1,0.0,0.0,0.0,0.0,3,100,1016.5,972.6,21.7,11,34.7,2026-02-10T10:45,America/Chicago,6
381,Marine Corps Air Station Beaufort,sc,32.47741,-80.72316,11.0,no,act,usmc,64.1,71,63.8,1,0.0,0.0,0.0,0.0,0,11,1021.9,1020.9,7.4,254,13.9,2026-02-10T11:45,America/New_York,3
383,Bridgeport,ca,38.25575,-119.23127,1970.0,no,act,usmc,30.2,95,25.0,1,0.0,0.0,0.0,0.0,3,100,1012.4,794.8,2.1,49,2.7,2026-02-10T08:45,America/Los_Angeles,4
417,Cheatham Annex,va,37.28403,-76.59051,8.0,no,act,usn,48.3,40,40.9,1,0.0,0.0,0.0,0.0,2,70,1019.2,1018.1,8.6,208,15.4,2026-02-10T11:45,America/New_York,9
422,Waterfront,nj,34.02482,-84.41243,302.0,no,act,usn,61.8,70,60.5,1,0.0,0.0,0.0,0.0,0,9,1020.5,983.5,6.7,240,16.1,2026-02-10T11:45,America/New_York,3
423,Fort Sheridan,il,42.20398,-87.80994,210.0,no,act,usn,45.5,69,37.4,1,0.0,0.0,0.0,0.0,1,31,1011.2,986.0,11.8,335,19.2,2026-02-10T10:45,America/Chicago,5
425,Craney Island,va,36.89237,-76.35939,3.0,no,act,usn,49.8,48,44.0,1,0.0,0.0,0.0,0.0,0,7,1019.6,1018.9,6.7,200,9.8,2026-02-10T11:45,America/New_York,9
430,Bratenahl,oh,41.54255,-81.62624,187.0,no,act,usn,43.8,58,33.4,1,0.0,0.0,0.0,0.0,0,3,1008.7,986.1,14.9,187,24.8,2026-02-10T11:45,America/New_York,5
